"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","position_index","fpl_to_game"
"32","Eduardo Dos Reis Carvalho","Goalkeeper","1982-09-19T00:00:00Z",33,"Portugal","Chelsea FC","Premier League","2016/2017",2016,"Eduardo","Dos Reis Carvalho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"33","Kurt Zouma","Centre-Back","1994-10-27T00:00:00Z",21,"France","Chelsea FC","Premier League","2016/2017",2016,"Kurt","Zouma",0,1,15,250,8,13.5,60.6,4,3,69,7.8,0,0,0,0.3,"2",5.4
"34","Gary Cahill","Centre-Back","1985-12-19T00:00:00Z",30,"England","Chelsea FC","Premier League","2016/2017",2016,"Gary","Cahill",6,0,178,3296,29,100.8,831.6,400,15,778,133.3,17,0,5,15.3,"2",4.86043689320388
"35","Branislav Ivanovic","Centre-Back","1984-02-22T00:00:00Z",32,"Serbia","Chelsea FC","Premier League","2016/2017",2016,"Branislav","Ivanovic",0,1,23,589,9,69.4,114.6,112,2,143,29.4,1,0,2,2.7,"2",3.51443123938879
"36","Nathan Aké","Centre-Back","1995-02-18T00:00:00Z",21,"Netherlands","Chelsea FC","Premier League","2016/2017",2016,"Nathan","Aké",3,1,55,834,20,55.5,373.2,147,8,267,57.5,3,0,1,6.1,"2",5.93525179856115
"37","John Terry","Centre-Back","1980-12-07T00:00:00Z",35,"England","Chelsea FC","Premier League","2016/2017",2016,"John","Terry",1,0,21,496,9,24.3,104.6,104,0,97,23.3,1,0,1,1.9,"2",3.81048387096774
"38","Matt Miazga","Centre-Back","1995-07-19T00:00:00Z",20,"United States","Chelsea FC","Premier League","2016/2017",2016,"Matt","Miazga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"2",NA
"39","Abdul Rahman Baba","Left-Back","1994-07-02T00:00:00Z",21,"Ghana","Chelsea FC","Premier League","2016/2017",2016,"Abdul Rahman","Baba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"40","Marcos Alonso","Left-Back","1990-12-28T00:00:00Z",25,"Spain","Chelsea FC","Premier League","2016/2017",2016,"Marcos","Alonso",6,5,177,2693,19,420.4,618.2,536,11,675,157.6,15,0,2,16,"2",5.91533605644263
"41","César Azpilicueta","Right-Back","1989-08-28T00:00:00Z",26,"Spain","Chelsea FC","Premier League","2016/2017",2016,"César","Azpilicueta",1,5,170,3420,33,422.8,792.8,150,22,872,136.8,16,0,4,18.1,"2",4.47368421052632
"42","Ola Aina","Right-Back","1996-10-08T00:00:00Z",19,"Nigeria","Chelsea FC","Premier League","2016/2017",2016,"Ola","Aina",0,0,3,26,0,0.9,4.8,17,0,9,2.3,0,0,0,0.1,"2",10.3846153846154
"43","Nemanja Matic","Defensive Midfield","1988-08-01T00:00:00Z",27,"Serbia","Chelsea FC","Premier League","2016/2017",2016,"Nemanja","Matic",1,8,105,2694,24,447.1,546.8,279,1,550,127.5,15,0,4,3.9,"3",3.50779510022272
"44","Nathaniel Chalobah","Defensive Midfield","1994-12-12T00:00:00Z",21,"England","Chelsea FC","Premier League","2016/2017",2016,"Nathaniel","Chalobah",0,1,12,167,3,51.1,40.6,7,0,54,9.9,0,0,2,0,"3",6.46706586826347
"45","Cesc Fàbregas","Central Midfield","1987-05-04T00:00:00Z",29,"Spain","Chelsea FC","Premier League","2016/2017",2016,"Cesc","Fàbregas",5,15,121,1340,14,881.8,635,325,14,529,184.1,4,0,8,3.3,"3",8.12686567164179
"46","N'Golo Kanté","Central Midfield","1991-03-29T00:00:00Z",25,"France","Chelsea FC","Premier League","2016/2017",2016,"N'Golo","Kanté",1,1,83,3138,33,432.8,515.4,244,1,554,119,13,0,9,11.7,"3",2.38049713193117
"47","Ruben Loftus-Cheek","Central Midfield","1996-01-23T00:00:00Z",20,"England","Chelsea FC","Premier League","2016/2017",2016,"Ruben","Loftus-Cheek",0,0,6,35,0,3.9,3.8,25,0,16,3.4,0,0,0,0.1,"3",15.4285714285714
"48","Robert Kenedy Nunes do Nascimento","Left Midfield","1996-02-08T00:00:00Z",20,"Brazil","Chelsea FC","Premier League","2016/2017",2016,"Robert Kenedy","Nunes do Nascimento",0,0,3,90,3,11.8,1.8,46,0,8,6,0,0,0,0,"3",3
"49","Oscar dos Santos Emboaba Junior","Attacking Midfield","1991-09-09T00:00:00Z",24,"Brazil","Chelsea FC","Premier League","2016/2017",2016,"Oscar","dos Santos Emboaba Junior",0,1,17,455,6,197.4,97.4,128,0,104,42.2,1,0,1,0.5,"4",3.36263736263736
"50","Eden Hazard","Left Winger","1991-01-07T00:00:00Z",25,"Belgium","Chelsea FC","Premier League","2016/2017",2016,"Eden","Hazard",16,9,224,2985,29,1306.8,1044.6,1162,33,869,351.6,17,0,3,30.6,"4",6.75376884422111
"51","Nathan Aké","Left Winger","1996-03-13T00:00:00Z",20,"Brazil","Chelsea FC","Premier League","2016/2017",2016,"Nathan","Aké",3,1,55,834,20,55.5,373.2,147,8,267,57.5,3,0,1,6.1,"4",5.93525179856115
"52","Willian Borges Da Silva","Right Winger","1988-08-09T00:00:00Z",27,"Brazil","Chelsea FC","Premier League","2016/2017",2016,"Willian","Borges Da Silva",8,3,114,1534,19,809.4,491.4,522,13,441,182.1,6,0,3,3.5,"4",6.6883963494133
"53","Juan Cuadrado","Right Winger","1988-05-26T00:00:00Z",28,"Colombia","Chelsea FC","Premier League","2016/2017",2016,"Juan","Cuadrado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"4",NA
"54","Pedro Rodríguez Ledesma","Right Winger","1987-07-28T00:00:00Z",28,"Spain","Chelsea FC","Premier League","2016/2017",2016,"Pedro","Rodríguez Ledesma",9,10,162,2140,15,697.9,639,669,18,580,198.8,15,0,6,8.5,"4",6.81308411214953
"55","Victor Moses","Right Winger","1990-12-12T00:00:00Z",25,"Nigeria","Chelsea FC","Premier League","2016/2017",2016,"Victor","Moses",3,3,105,2485,15,456.2,528.6,683,6,476,166.7,17,0,4,2.2,"4",3.80281690140845
"56","Michy Batshuayi","Centre-Forward","1993-10-02T00:00:00Z",22,"Belgium","Chelsea FC","Premier League","2016/2017",2016,"Michy","Batshuayi",5,1,48,254,3,40.9,193.2,277,4,169,50.7,0,0,0,1.2,"5",17.007874015748
"57","Dominic Solanke","Centre-Forward","1997-09-14T00:00:00Z",18,"England","Chelsea FC","Premier League","2016/2017",2016,"Dominic","Solanke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",NA
"58","David de Gea","Goalkeeper","1990-11-07T00:00:00Z",25,"Spain","Manchester United","Premier League","2016/2017",2016,"David","de Gea",0,0,136,3150,29,10,542.4,0,5,575,55,14,0,2,33.2,"1",3.88571428571429
"59","Sergio Romero","Goalkeeper","1987-02-22T00:00:00Z",29,"Argentina","Manchester United","Premier League","2016/2017",2016,"Sergio","Romero",0,0,23,180,0,0,77.2,0,3,80,7.7,2,0,0,0.2,"1",11.5
"60","Kieran O'Hara","Goalkeeper","1996-04-22T00:00:00Z",20,"Ireland","Manchester United","Premier League","2016/2017",2016,"Kieran","O'Hara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"61","Chris Smalling","Centre-Back","1989-11-22T00:00:00Z",26,"England","Manchester United","Premier League","2016/2017",2016,"Chris","Smalling",1,1,52,1217,16,36.1,342.6,95,1,282,47.4,4,0,0,1.1,"2",3.8455217748562
"62","Daley Blind","Centre-Back","1990-03-09T00:00:00Z",26,"Netherlands","Manchester United","Premier League","2016/2017",2016,"Daley","Blind",1,2,98,1830,17,426.6,534,122,14,525,108.2,9,0,2,4.7,"2",4.81967213114754
"63","Marcos Rojo","Centre-Back","1990-03-20T00:00:00Z",26,"Argentina","Manchester United","Premier League","2016/2017",2016,"Marcos","Rojo",1,0,77,1663,13,71,446.4,147,7,394,66.5,8,0,5,0.7,"2",4.167167769092
"64","Phil Jones","Centre-Back","1992-02-21T00:00:00Z",24,"England","Manchester United","Premier League","2016/2017",2016,"Phil","Jones",0,0,55,1584,14,35.2,437.8,89,4,362,56.3,5,0,2,0.7,"2",3.125
"65","Eric Bailly","Centre-Back","1994-04-12T00:00:00Z",22,"Cote d'Ivoire","Manchester United","Premier League","2016/2017",2016,"Eric","Bailly",0,0,105,2058,15,31,481.2,98,14,542,61.2,13,0,4,8.3,"2",4.59183673469388
"66","Axel Tuanzebe","Centre-Back","1997-11-14T00:00:00Z",18,"England","Manchester United","Premier League","2016/2017",2016,"Axel","Tuanzebe",0,0,14,303,4,27.7,32.6,18,0,69,7.8,2,0,0,0.3,"2",4.15841584158416
"67","Luke Shaw","Left-Back","1995-07-12T00:00:00Z",20,"England","Manchester United","Premier League","2016/2017",2016,"Luke","Shaw",0,3,45,688,6,160.5,139.2,64,4,202,36.5,4,0,1,6.4,"2",5.88662790697675
"68","Ashley Young","Left-Back","1985-07-09T00:00:00Z",30,"England","Manchester United","Premier League","2016/2017",2016,"Ashley","Young",0,1,26,760,6,167,147.4,61,1,154,37.6,4,0,2,0.1,"2",3.07894736842105
"69","Cameron Borthwick-Jackson","Left-Back","1997-02-02T00:00:00Z",19,"England","Manchester United","Premier League","2016/2017",2016,"Cameron","Borthwick-Jackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"70","Demetri Mitchell","Left-Back","1997-01-11T00:00:00Z",19,"England","Manchester United","Premier League","2016/2017",2016,"Demetri","Mitchell",0,0,8,90,0,31.6,24.8,0,2,35,5.6,1,0,0,0,"2",8
"71","Matteo Darmian","Right-Back","1989-12-02T00:00:00Z",26,"Italy","Manchester United","Premier League","2016/2017",2016,"Matteo","Darmian",0,0,70,1333,8,74,206,13,6,319,29.4,9,0,3,1,"2",4.72618154538635
"72","Antonio Valencia","Right-Back","1985-08-04T00:00:00Z",30,"Ecuador","Manchester United","Premier League","2016/2017",2016,"Antonio","Valencia",1,3,120,2483,20,614.8,547.2,243,9,612,140.6,12,0,5,12.4,"2",4.34957712444623
"73","Guillermo Varela","Right-Back","1993-03-24T00:00:00Z",23,"Uruguay","Manchester United","Premier League","2016/2017",2016,"Guillermo","Varela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"74","Timothy Fosu-Mensah","Right-Back","1998-01-02T00:00:00Z",18,"Netherlands","Manchester United","Premier League","2016/2017",2016,"Timothy","Fosu-Mensah",0,0,9,97,0,2.9,12.8,8,0,36,2.4,1,0,0,0.2,"2",8.35051546391753
"75","Morgan Schneiderlin","Defensive Midfield","1989-11-08T00:00:00Z",26,"France","Manchester United","Premier League","2016/2017",2016,"Morgan","Schneiderlin",1,0,37,1073,14,112.3,216.2,90,1,214,42,5,0,2,0.4,"3",3.10344827586207
"76","Michael Carrick","Defensive Midfield","1981-07-28T00:00:00Z",34,"England","Manchester United","Premier League","2016/2017",2016,"Michael","Carrick",0,0,42,1601,14,209.3,288,48,0,297,54.5,5,0,2,1.7,"3",2.36102435977514
"77","Paul Pogba","Central Midfield","1993-03-15T00:00:00Z",23,"France","Manchester United","Premier League","2016/2017",2016,"Paul","Pogba",5,4,115,2608,21,953.5,713,839,14,512,250,13,0,7,7.3,"3",3.96855828220859
"78","Ander Herrera","Central Midfield","1989-08-14T00:00:00Z",26,"Spain","Manchester United","Premier League","2016/2017",2016,"Ander","Herrera",1,6,97,2465,18,720.8,593.2,276,11,559,159.2,13,1,5,2.2,"3",3.54158215010142
"79","Marouane Fellaini","Central Midfield","1987-11-22T00:00:00Z",28,"Belgium","Manchester United","Premier League","2016/2017",2016,"Marouane","Fellaini",1,0,48,1604,14,281.9,299,333,0,259,90.9,10,1,8,0.3,"3",2.69326683291771
"80","Bastian Schweinsteiger","Central Midfield","1984-08-01T00:00:00Z",31,"Germany","Manchester United","Premier League","2016/2017",2016,"Bastian","Schweinsteiger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"3",NA
"81","Scott McTominay","Central Midfield","1996-12-08T00:00:00Z",19,"Scotland","Manchester United","Premier League","2016/2017",2016,"Scott","McTominay",0,0,3,97,0,19.1,22.2,17,0,16,5.8,1,0,1,0,"3",2.78350515463918
"82","Juan Mata","Attacking Midfield","1988-04-28T00:00:00Z",28,"Spain","Manchester United","Premier League","2016/2017",2016,"Juan","Mata",6,3,102,1614,16,747.5,457.6,598,14,457,179.9,10,0,3,2,"4",5.68773234200743
"83","Henrikh Mkhitaryan","Attacking Midfield","1989-01-21T00:00:00Z",27,"Armenia","Manchester United","Premier League","2016/2017",2016,"Henrikh","Mkhitaryan",4,1,73,1348,8,512.2,325.8,427,3,279,126.2,10,0,1,2.1,"4",4.87388724035608
"84","Andreas Pereira","Attacking Midfield","1996-01-01T00:00:00Z",20,"Brazil","Manchester United","Premier League","2016/2017",2016,"Andreas","Pereira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"85","Angel Gomes","Attacking Midfield","2000-08-31T00:00:00Z",15,"England","Manchester United","Premier League","2016/2017",2016,"Angel","Gomes",0,0,1,3,0,3.8,0.8,0,0,2,0.5,0,0,0,0,"4",30
"86","Anthony Martial","Left Winger","1995-12-05T00:00:00Z",20,"France","Manchester United","Premier League","2016/2017",2016,"Anthony","Martial",4,6,95,1553,13,399.1,382.8,579,9,302,136.2,9,0,2,2.5,"4",5.50547327752737
"87","Adnan Januzaj","Right Winger","1995-02-05T00:00:00Z",21,"Belgium","Manchester United","Premier League","2016/2017",2016,"Adnan","Januzaj",0,3,49,1628,38,470.8,226.2,364,0,158,106.4,3,1,3,0.5,"4",2.70884520884521
"88","Jesse Lingard","Right Winger","1992-12-15T00:00:00Z",23,"England","Manchester United","Premier League","2016/2017",2016,"Jesse","Lingard",1,3,60,1360,12,522.3,229.4,439,3,227,118,7,0,3,0.8,"4",3.97058823529412
"89","Wayne Rooney","Centre-Forward","1985-10-24T00:00:00Z",30,"England","Manchester United","Premier League","2016/2017",2016,"Wayne","Rooney",5,5,76,1540,16,593.8,394.2,616,9,322,160.2,6,0,8,2.4,"5",4.44155844155844
"90","Memphis Depay","Centre-Forward","1994-02-13T00:00:00Z",22,"Netherlands","Manchester United","Premier League","2016/2017",2016,"Memphis","Depay",0,0,3,24,1,1.8,1.2,4,0,6,0.7,0,0,1,0.2,"5",11.25
"91","Zlatan Ibrahimovic","Centre-Forward","1981-10-03T00:00:00Z",34,"Sweden","Manchester United","Premier League","2016/2017",2016,"Zlatan","Ibrahimovic",17,7,163,2438,22,775,807.8,1694,28,540,327.3,11,0,7,22.8,"5",6.01722723543888
"92","Marcus Rashford","Centre-Forward","1997-10-31T00:00:00Z",18,"England","Manchester United","Premier League","2016/2017",2016,"Marcus","Rashford",5,3,76,1712,15,411.4,316.2,734,2,287,145.5,7,0,3,10.6,"5",3.99532710280374
"93","James Wilson","Centre-Forward","1995-12-01T00:00:00Z",20,"England","Manchester United","Premier League","2016/2017",2016,"James","Wilson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"5",NA
"94","Petr Cech","Goalkeeper","1982-05-20T00:00:00Z",34,"Czech Republic","Arsenal FC","Premier League","2016/2017",2016,"Petr","Cech",0,0,134,3097,37,0.1,819.8,0,2,660,82,12,0,2,13.7,"1",3.89409105586051
"95","David Ospina","Goalkeeper","1988-08-31T00:00:00Z",27,"Colombia","Arsenal FC","Premier League","2016/2017",2016,"David","Ospina",0,0,2,143,4,0,28.8,0,0,18,2.9,0,0,0,0.2,"1",1.25874125874126
"96","Matt Macey","Goalkeeper","1994-09-09T00:00:00Z",21,"England","Arsenal FC","Premier League","2016/2017",2016,"Matt","Macey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"97","Laurent Koscielny","Centre-Back","1985-09-10T00:00:00Z",30,"France","Arsenal FC","Premier League","2016/2017",2016,"Laurent","Koscielny",2,1,121,2821,37,53.9,831.2,239,19,723,112.7,10,1,4,11.2,"2",3.86033321517192
"98","Shkodran Mustafi","Centre-Back","1992-04-17T00:00:00Z",24,"Germany","Arsenal FC","Premier League","2016/2017",2016,"Shkodran","Mustafi",2,2,90,2274,30,159.7,598.2,364,8,513,112.4,8,0,11,1.4,"2",3.56200527704486
"99","Per Mertesacker","Centre-Back","1984-09-29T00:00:00Z",31,"Germany","Arsenal FC","Premier League","2016/2017",2016,"Per","Mertesacker",0,0,1,38,1,0.1,17.8,0,0,5,1.8,0,0,0,0.2,"2",2.36842105263158
"100","Calum Chambers","Centre-Back","1995-01-20T00:00:00Z",21,"England","Arsenal FC","Premier League","2016/2017",2016,"Calum","Chambers",2,1,83,2250,37,107,692.2,80,7,499,88,7,0,4,3.4,"2",3.32
"101","Rob Holding","Centre-Back","1995-09-20T00:00:00Z",20,"England","Arsenal FC","Premier League","2016/2017",2016,"Rob","Holding",0,0,32,810,8,49.2,172,100,3,171,32.2,4,0,3,3.3,"2",3.55555555555556
"102","Nacho Monreal","Left-Back","1986-02-26T00:00:00Z",30,"Spain","Arsenal FC","Premier League","2016/2017",2016,"Nacho","Monreal",0,3,115,3153,43,280.3,554,220,9,681,105.8,11,0,5,6.4,"2",3.2825880114177
"103","Kieran Gibbs","Left-Back","1989-09-26T00:00:00Z",26,"England","Arsenal FC","Premier League","2016/2017",2016,"Kieran","Gibbs",0,1,45,702,3,171.4,142.4,117,3,201,43.1,6,0,3,1.7,"2",5.76923076923077
"104","Héctor Bellerín","Right-Back","1995-03-19T00:00:00Z",21,"Spain","Arsenal FC","Premier League","2016/2017",2016,"Héctor","Bellerín",1,5,119,2503,34,508.3,437.6,395,12,569,133.8,10,0,4,13.9,"2",4.27886536156612
"105","Carl Jenkinson","Right-Back","1992-02-08T00:00:00Z",24,"England","Arsenal FC","Premier League","2016/2017",2016,"Carl","Jenkinson",0,0,2,82,1,2,19.4,0,0,12,2.1,0,0,0,0.1,"2",2.19512195121951
"106","Mathieu Debuchy","Right-Back","1985-07-28T00:00:00Z",30,"France","Arsenal FC","Premier League","2016/2017",2016,"Mathieu","Debuchy",0,0,1,15,0,1.4,1,0,0,2,0.2,0,0,0,0.2,"2",6
"107","Granit Xhaka","Defensive Midfield","1992-09-27T00:00:00Z",23,"Switzerland","Arsenal FC","Premier League","2016/2017",2016,"Granit","Xhaka",2,3,85,2483,32,626.2,488.8,193,7,506,130.8,10,2,5,3.2,"3",3.08095046314942
"108","Francis Coquelin","Defensive Midfield","1991-05-13T00:00:00Z",25,"France","Arsenal FC","Premier League","2016/2017",2016,"Francis","Coquelin",0,1,52,1779,27,314.1,291.6,117,1,303,72.4,5,0,5,1.9,"3",2.63069139966273
"109","Mohamed Elneny","Defensive Midfield","1992-07-11T00:00:00Z",23,"Egypt","Arsenal FC","Premier League","2016/2017",2016,"Mohamed","Elneny",0,1,26,694,9,108.6,89,116,0,133,31.1,3,0,1,0.4,"3",3.37175792507205
"110","Aaron Ramsey","Central Midfield","1990-12-26T00:00:00Z",25,"Wales","Arsenal FC","Premier League","2016/2017",2016,"Aaron","Ramsey",1,4,56,1236,20,361.2,257.2,496,3,240,111.3,4,0,3,1.1,"3",4.07766990291262
"111","Jack Wilshere","Central Midfield","1992-01-01T00:00:00Z",24,"England","Arsenal FC","Premier League","2016/2017",2016,"Jack","Wilshere",0,3,61,1950,45,544.4,308.4,321,2,312,116.8,5,0,4,0.5,"3",2.81538461538462
"112","Alex Oxlade-Chamberlain","Central Midfield","1993-08-15T00:00:00Z",22,"England","Arsenal FC","Premier League","2016/2017",2016,"Alex","Oxlade-Chamberlain",2,7,83,1564,22,519.9,435.4,416,3,393,137.5,4,0,1,1.4,"3",4.77621483375959
"113","Ainsley Maitland-Niles","Right Midfield","1997-08-29T00:00:00Z",18,"England","Arsenal FC","Premier League","2016/2017",2016,"Ainsley","Maitland-Niles",0,0,1,2,0,0,2.2,0,0,5,0.2,0,0,0,0,"3",45
