"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","now_cost","position_index","fpl_to_game"
"45","Michy Batshuayi","Centre-Forward","1993-10-02T00:00:00Z",25,"Belgium","Chelsea FC","Premier League","2018/2019",2018,"Michy","Batshuayi",5,1,48,748,11,41.4,198.6,406,5,159,64.2,3,0,0,0.8,62,"5",5.77540106951872
"46","Tammy Abraham","Centre-Forward","1997-10-02T00:00:00Z",21,"England","Chelsea FC","Premier League","2018/2019",2018,"Tammy","Abraham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,"5",NA
"47","Olivier Giroud","Centre-Forward","1986-09-30T00:00:00Z",32,"France","Chelsea FC","Premier League","2018/2019",2018,"Olivier","Giroud",2,4,55,828,5,253.6,183.2,519,2,169,94.5,6,0,1,1.9,77,"5",5.97826086956522
"48","Alisson Ramses Becker","Goalkeeper","1992-10-02T00:00:00Z",26,"Brazil","Liverpool FC","Premier League","2018/2019",2018,"Alisson","Ramses Becker",0,0,176,3420,22,0.1,677,0,9,771,67.6,21,0,1,23.4,59,"1",4.63157894736842
"49","Simon Mignolet","Goalkeeper","1988-03-06T00:00:00Z",31,"Belgium","Liverpool FC","Premier League","2018/2019",2018,"Simon","Mignolet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,47,"1",NA
"50","Virgil van Dijk","Centre-Back","1991-07-08T00:00:00Z",27,"Netherlands","Liverpool FC","Premier League","2018/2019",2018,"Virgil","van Dijk",4,4,208,3384,22,111.1,993.6,455,22,932,156.1,20,0,1,32.3,67,"2",5.53191489361702
"51","Dejan Lovren","Centre-Back","1989-07-05T00:00:00Z",29,"Croatia","Liverpool FC","Premier League","2018/2019",2018,"Dejan","Lovren",1,1,63,986,7,29.1,255.8,72,9,258,35.7,6,0,1,1.5,49,"2",5.75050709939148
"52","Joel Matip","Centre-Back","1991-08-08T00:00:00Z",27,"Cameroon","Liverpool FC","Premier League","2018/2019",2018,"Joel","Matip",1,0,83,1535,12,57.9,414.6,85,7,402,55.9,9,0,3,1.1,49,"2",4.86644951140065
"53","Andrew Robertson","Left-Back","1994-03-11T00:00:00Z",25,"Scotland","Liverpool FC","Premier League","2018/2019",2018,"Andrew","Robertson",0,12,213,3216,20,767.2,748.8,318,29,906,183.6,21,0,4,33,67,"2",5.96082089552239
"54","Alberto Moreno","Left-Back","1992-07-05T00:00:00Z",26,"Spain","Liverpool FC","Premier League","2018/2019",2018,"Alberto","Moreno",0,0,4,154,2,42,20,5,0,24,6.7,0,0,0,0.2,41,"2",2.33766233766234
"55","Trent Alexander-Arnold","Right-Back","1998-10-07T00:00:00Z",20,"England","Liverpool FC","Premier League","2018/2019",2018,"Trent","Alexander-Arnold",1,13,185,2460,14,837.4,734.4,276,25,753,184.7,16,0,3,26.9,58,"2",6.76829268292683
"56","Nathaniel Clyne","Right-Back","1991-04-05T00:00:00Z",28,"England","Liverpool FC","Premier League","2018/2019",2018,"Nathaniel","Clyne",0,1,34,1250,26,100.2,199.4,72,0,201,36.9,3,0,2,0.6,44,"2",2.448
"57","Fabio Henrique Tavares","Defensive Midfield","1993-10-23T00:00:00Z",25,"Brazil","Liverpool FC","Premier League","2018/2019",2018,"Fabio Henrique","Tavares",1,2,65,2011,14,283.4,406.2,173,0,305,86.4,11,0,6,0.6,55,"3",2.90900049726504
"58","Georginio Wijnaldum","Central Midfield","1990-11-11T00:00:00Z",28,"Netherlands","Liverpool FC","Premier League","2018/2019",2018,"Georginio","Wijnaldum",3,1,108,2723,16,405.2,437.6,338,9,470,118.4,18,0,3,1.4,55,"3",3.56959236136614
"59","Alex Oxlade-Chamberlain","Central Midfield","1993-08-15T00:00:00Z",25,"England","Liverpool FC","Premier League","2018/2019",2018,"Alex","Oxlade-Chamberlain",0,0,2,19,0,10.8,10.2,19,0,7,4,0,0,0,0.1,64,"3",9.47368421052632
"60","Jordan Henderson","Central Midfield","1990-06-17T00:00:00Z",28,"England","Liverpool FC","Premier League","2018/2019",2018,"Jordan","Henderson",1,3,76,1976,14,311.7,358.8,182,2,397,85.4,12,1,1,0.7,53,"3",3.46153846153846
"61","James Milner","Central Midfield","1986-01-04T00:00:00Z",33,"England","Liverpool FC","Premier League","2018/2019",2018,"James","Milner",5,5,101,1778,13,725.2,587.2,374,12,448,169.2,9,1,5,2.5,56,"3",5.11248593925759
"62","Adam Lallana","Attacking Midfield","1988-05-10T00:00:00Z",31,"England","Liverpool FC","Premier League","2018/2019",2018,"Adam","Lallana",0,1,23,460,3,139,85.4,113,0,96,33.8,3,0,1,0.6,69,"4",4.5
"63","Sadio Mané","Left Winger","1992-04-10T00:00:00Z",27,"Senegal","Liverpool FC","Premier League","2018/2019",2018,"Sadio","Mané",22,3,231,3076,21,692.8,1015.8,1332,24,703,304,19,0,2,38.6,103,"4",6.75877763328999
"64","Mohamed Salah","Right Winger","1992-06-15T00:00:00Z",26,"Egypt","Liverpool FC","Premier League","2018/2019",2018,"Mohamed","Salah",22,12,259,3254,20,973.9,1186.8,2168,18,687,432.7,21,0,1,33.9,132,"4",7.16349108789183
"65","Xherdan Shaqiri","Right Winger","1991-10-10T00:00:00Z",27,"Switzerland","Liverpool FC","Premier League","2018/2019",2018,"Xherdan","Shaqiri",6,5,88,1052,6,344.7,363.6,282,4,302,99.1,7,0,2,2.1,68,"4",7.52851711026616
"66","Roberto Firmino","Centre-Forward","1991-10-02T00:00:00Z",27,"Brazil","Liverpool FC","Premier League","2018/2019",2018,"Roberto","Firmino",12,8,160,2606,15,670.1,774.8,1240,24,647,267.8,19,0,0,14.2,93,"5",5.52570990023024
"67","Daniel Sturridge","Centre-Forward","1989-09-01T00:00:00Z",29,"England","Liverpool FC","Premier League","2018/2019",2018,"Daniel","Sturridge",2,1,34,498,5,117.6,117.6,186,2,121,41.7,2,0,1,1,56,"5",6.14457831325301
"68","Divock Origi","Centre-Forward","1995-04-18T00:00:00Z",24,"Belgium","Liverpool FC","Premier League","2018/2019",2018,"Divock","Origi",3,1,32,364,2,45,143.4,195,1,122,38.2,3,0,0,0.3,50,"5",7.91208791208791
"69","Hugo Lloris","Goalkeeper","1986-12-26T00:00:00Z",32,"France","Tottenham Hotspur","Premier League","2018/2019",2018,"Hugo","Lloris",0,0,145,2970,33,0,858.2,0,10,691,86,12,0,0,6.2,54,"1",4.39393939393939
"70","Michel Vorm","Goalkeeper","1983-10-20T00:00:00Z",35,"Netherlands","Tottenham Hotspur","Premier League","2018/2019",2018,"Michel","Vorm",0,0,5,180,4,0,66.8,0,1,36,6.6,0,0,0,0.1,47,"1",2.5
"71","Paulo Gazzaniga","Goalkeeper","1992-01-02T00:00:00Z",27,"Argentina","Tottenham Hotspur","Premier League","2018/2019",2018,"Paulo","Gazzaniga",0,0,13,270,2,0,82.8,0,0,64,8.2,1,0,0,0,45,"1",4.33333333333333
"72","Davinson Sánchez","Centre-Back","1996-06-12T00:00:00Z",23,"Colombia","Tottenham Hotspur","Premier League","2018/2019",2018,"Davinson","Sánchez",1,2,78,1941,22,60.3,454.2,183,4,412,70,6,0,2,1.6,58,"2",3.61669242658424
"73","Toby Alderweireld","Centre-Back","1989-03-02T00:00:00Z",30,"Belgium","Tottenham Hotspur","Premier League","2018/2019",2018,"Toby","Alderweireld",0,0,107,2921,31,139.1,690.2,229,7,651,105.7,12,0,3,3.7,60,"2",3.29681615884971
"74","Jan Vertonghen","Centre-Back","1987-04-24T00:00:00Z",32,"Belgium","Tottenham Hotspur","Premier League","2018/2019",2018,"Jan","Vertonghen",1,0,67,1911,23,116.7,445.4,165,7,390,72.7,6,1,3,4,59,"2",3.15541601255887
"75","Juan Foyth","Centre-Back","1998-01-12T00:00:00Z",21,"Argentina","Tottenham Hotspur","Premier League","2018/2019",2018,"Juan","Foyth",1,0,35,888,12,59.8,248.6,53,4,172,36.3,3,1,3,0.2,50,"2",3.5472972972973
"76","Danny Rose","Left-Back","1990-07-02T00:00:00Z",28,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Danny","Rose",0,4,86,1792,16,416.6,343.6,216,5,352,97.6,8,0,5,1.1,58,"2",4.31919642857143
"77","Ben Davies","Left-Back","1993-04-24T00:00:00Z",26,"Wales","Tottenham Hotspur","Premier League","2018/2019",2018,"Ben","Davies",0,0,66,1837,26,256.6,388.2,176,5,361,82.3,6,0,2,1.7,56,"2",3.23353293413174
"78","Kieran Trippier","Right-Back","1990-09-19T00:00:00Z",28,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Kieran","Trippier",1,5,118,2275,23,827,601.6,121,16,573,155,10,0,2,15.2,60,"2",4.66813186813187
"79","Serge Aurier","Right-Back","1992-12-24T00:00:00Z",26,"Cote d'Ivoire","Tottenham Hotspur","Premier League","2018/2019",2018,"Serge","Aurier",0,2,24,562,9,108.4,151.6,45,0,116,30.5,2,0,1,0.5,57,"2",3.84341637010676
"80","Kyle Walker-Peters","Right-Back","1997-04-13T00:00:00Z",22,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Kyle","Walker-Peters",0,3,28,374,4,104.9,107.4,20,4,112,23.1,2,0,1,0.7,42,"2",6.7379679144385
"81","Eric Dier","Defensive Midfield","1994-01-15T00:00:00Z",25,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Eric","Dier",3,0,56,1504,18,150.1,363.4,121,3,269,63.6,5,0,4,0.9,47,"3",3.35106382978723
"82","Victor Wanyama","Defensive Midfield","1991-06-25T00:00:00Z",27,"Kenya","Tottenham Hotspur","Premier League","2018/2019",2018,"Victor","Wanyama",1,0,24,511,4,45,113.2,80,2,105,23.9,3,0,2,0.1,49,"3",4.22700587084149
"83","Oliver Skipp","Defensive Midfield","2000-09-16T00:00:00Z",18,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Oliver","Skipp",0,0,12,214,1,20.5,35.2,12,0,40,7,2,0,0,0,45,"3",5.04672897196262
"84","Harry Winks","Central Midfield","1996-02-02T00:00:00Z",23,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Harry","Winks",1,0,53,1589,17,168.6,268.2,71,3,275,50.7,6,0,4,0.1,55,"3",3.00188797986155
"85","Moussa Sissoko","Central Midfield","1989-08-16T00:00:00Z",29,"France","Tottenham Hotspur","Premier League","2018/2019",2018,"Moussa","Sissoko",0,3,76,2329,28,380.7,329,193,3,395,90.2,11,0,2,0.3,49,"3",2.93688278231
"86","Christian Eriksen","Attacking Midfield","1992-02-14T00:00:00Z",27,"Denmark","Tottenham Hotspur","Premier League","2018/2019",2018,"Christian","Eriksen",8,12,161,2770,37,1148.7,876,801,15,675,283,8,0,3,7.7,92,"4",5.23104693140794
"87","Erik Lamela","Right Winger","1992-03-04T00:00:00Z",27,"Argentina","Tottenham Hotspur","Premier League","2018/2019",2018,"Erik","Lamela",4,4,67,965,12,339.9,263.8,441,5,231,104.1,4,0,2,0.3,59,"4",6.24870466321244
"88","Harry Kane","Centre-Forward","1993-07-28T00:00:00Z",25,"England","Tottenham Hotspur","Premier League","2018/2019",2018,"Harry","Kane",17,6,160,2423,31,430,824.6,1359,24,561,261.3,9,0,5,12.4,126,"5",5.94304581097813
"89","Vincent Janssen","Centre-Forward","1994-06-15T00:00:00Z",24,"Netherlands","Tottenham Hotspur","Premier League","2018/2019",2018,"Vincent","Janssen",0,0,3,36,0,1.6,6.2,57,0,4,6.5,0,0,0,0.1,45,"5",7.5
"90","Fernando Llorente","Centre-Forward","1985-02-26T00:00:00Z",34,"Spain","Tottenham Hotspur","Premier League","2018/2019",2018,"Fernando","Llorente",1,4,41,681,8,189.5,138,307,3,104,63.1,2,0,2,1.5,51,"5",5.41850220264317
"91","David de Gea","Goalkeeper","1990-11-07T00:00:00Z",28,"Spain","Manchester United","Premier League","2018/2019",2018,"David","de Gea",0,0,120,3420,54,0,846,0,7,636,84.5,7,0,1,16.2,57,"1",3.15789473684211
"92","Sergio Romero","Goalkeeper","1987-02-22T00:00:00Z",32,"Argentina","Manchester United","Premier League","2018/2019",2018,"Sergio","Romero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,"1",NA
"93","Lee Grant","Goalkeeper","1983-01-27T00:00:00Z",36,"England","Manchester United","Premier League","2018/2019",2018,"Lee","Grant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"1",NA
"94","Victor Lindelöf","Centre-Back","1994-07-17T00:00:00Z",24,"Sweden","Manchester United","Premier League","2018/2019",2018,"Victor","Lindelöf",1,1,85,2600,40,75.3,533,118,9,527,72.8,6,0,1,5.2,49,"2",2.94230769230769
"95","Eric Bailly","Centre-Back","1994-04-12T00:00:00Z",25,"Cote d'Ivoire","Manchester United","Premier League","2018/2019",2018,"Eric","Bailly",0,0,16,636,13,3.4,125,35,0,109,16.5,1,1,0,1.3,50,"2",2.26415094339623
"96","Phil Jones","Centre-Back","1992-02-21T00:00:00Z",27,"England","Manchester United","Premier League","2018/2019",2018,"Phil","Jones",0,1,43,1261,17,44.8,300.8,42,3,273,39,3,0,1,0.5,51,"2",3.0689928628073
"97","Chris Smalling","Centre-Back","1989-11-22T00:00:00Z",29,"England","Manchester United","Premier League","2018/2019",2018,"Chris","Smalling",1,0,56,2127,36,31,453.4,176,3,335,66,4,0,1,1.4,56,"2",2.36953455571227
"98","Marcos Rojo","Centre-Back","1990-03-20T00:00:00Z",29,"Argentina","Manchester United","Premier League","2018/2019",2018,"Marcos","Rojo",0,0,2,209,5,3.1,42.2,63,0,15,10.9,0,0,2,0.1,49,"2",0.861244019138756
"99","Luke Shaw","Left-Back","1995-07-12T00:00:00Z",23,"England","Manchester United","Premier League","2018/2019",2018,"Luke","Shaw",1,5,91,2591,39,505.6,586.2,287,11,489,138.1,6,0,11,8.1,51,"2",3.16094172134311
"100","Ashley Young","Left-Back","1985-07-09T00:00:00Z",33,"England","Manchester United","Premier League","2018/2019",2018,"Ashley","Young",2,3,73,2568,44,650.5,554.4,124,4,450,133,4,1,8,1.7,57,"2",2.55841121495327
"101","Matteo Darmian","Right-Back","1989-12-02T00:00:00Z",29,"Italy","Manchester United","Premier League","2018/2019",2018,"Matteo","Darmian",0,0,14,443,8,34.9,84.2,7,2,83,12.6,1,0,0,0.2,46,"2",2.84424379232506
"102","Timothy Fosu-Mensah","Right-Back","1998-01-02T00:00:00Z",21,"Netherlands","Manchester United","Premier League","2018/2019",2018,"Timothy","Fosu-Mensah",0,0,14,791,18,100.3,136.4,28,1,119,26.4,1,0,3,0.3,45,"2",1.5929203539823
"103","Antonio Valencia","Right-Back","1985-08-04T00:00:00Z",33,"Ecuador","Manchester United","Premier League","2018/2019",2018,"Antonio","Valencia",0,0,17,466,5,111.2,61.4,6,1,92,17.9,2,0,2,0.7,64,"2",3.28326180257511
"104","Nemanja Matic","Defensive Midfield","1988-08-01T00:00:00Z",30,"Serbia","Manchester United","Premier League","2018/2019",2018,"Nemanja","Matic",1,0,59,2437,37,247.9,477.6,183,2,371,90.9,6,1,6,0.7,50,"3",2.17890849405006
"105","Paul Pogba","Central Midfield","1993-03-15T00:00:00Z",26,"France","Manchester United","Premier League","2018/2019",2018,"Paul","Pogba",13,10,179,3007,43,822.3,1096.8,1246,19,648,316.9,8,0,6,33.7,86,"3",5.35749916860658
"106","Frederico Rodrigues de Paula Santos","Central Midfield","1993-03-05T00:00:00Z",26,"Brazil","Manchester United","Premier League","2018/2019",2018,"Frederico","Rodrigues de Paula Santos",1,2,40,1039,19,203.2,177.6,87,3,180,46.9,1,0,2,1.2,53,"3",3.46487006737247
"107","Ander Herrera","Central Midfield","1989-08-14T00:00:00Z",29,"Spain","Manchester United","Premier League","2018/2019",2018,"Ander","Herrera",2,3,62,1397,18,234.6,399.2,257,6,302,89.2,5,0,4,0.5,50,"3",3.99427344309234
"108","Scott McTominay","Central Midfield","1996-12-08T00:00:00Z",22,"Scotland","Manchester United","Premier League","2018/2019",2018,"Scott","McTominay",2,0,38,862,18,33.1,175.4,180,4,152,38.8,1,0,1,1.2,42,"3",3.96751740139211
"109","Juan Mata","Attacking Midfield","1988-04-28T00:00:00Z",31,"Spain","Manchester United","Premier League","2018/2019",2018,"Juan","Mata",3,4,70,1284,15,464,258.4,262,7,274,98.6,5,0,3,1.2,61,"4",4.90654205607477
