Club Name,Date Of Birth,Kickoff Time,League Name,Nationality,Player Name,Position,Position Index,Season,Was Home,Year,Age,Assists,Bonus,Bps,Clean Sheets,Creativity,Element,F1,Fixture,Goals Conceded,Goals Scored,GW,Ict Index,Influence,Minutes,Opponent Team,Own Goals,Penalties Missed,Penalties Saved,Red Cards,Round,Saves,Selected,Team A Score,Team H Score,Threat,Total Points,Transfers Balance,Transfers In,Transfers Out,Value,Yellow Cards
Brighton & Hove Albion,1/4/1995,8/10/2019 2:00:00 PM,Premier League,England,Adam Webster,Centre-Back,2,2019/2020,False,2019,24,0,0,0,0,0,493,11,7,0,0,1,0,0,0,18,0,0,0,0,1,0,5861,3,0,0,0,0,0,0,45,0
Watford FC,10/3/1986,8/10/2019 2:00:00 PM,Premier League,Jamaica,Adrian Mariappa,Centre-Back,2,2019/2020,True,2019,32,0,0,0,0,0,356,12,7,0,0,1,0,0,0,4,0,0,0,0,1,0,15852,3,0,0,0,0,0,0,45,0
Arsenal FC,8/29/1997,8/11/2019 1:00:00 PM,Premier League,England,Ainsley Maitland-Niles,Right Midfield,3,2019/2020,False,2019,21,1,3,38,1,12.3,4,13,10,0,0,1,5.1,38.4,90,13,0,0,0,0,1,0,57131,1,0,0,12,0,0,0,50,0
West Ham United,2/26/1997,8/10/2019 11:30:00 AM,Premier League,Switzerland,Albian Ajeti,Centre-Forward,5,2019/2020,True,2019,22,0,0,0,0,0,514,14,8,0,0,1,0,0,0,11,0,0,0,0,1,0,3165,5,0,0,0,0,0,0,60,0
Norwich City,4/4/1986,8/9/2019 7:00:00 PM,Premier League,Norway,Alexander Tettey,Defensive Midfield,3,2019/2020,False,2019,33,0,0,0,0,0,289,15,1,0,0,1,0,0,0,10,0,0,0,0,1,0,10849,1,4,0,0,0,0,0,45,0
Arsenal FC,5/28/1991,8/11/2019 1:00:00 PM,Premier League,France,Alexandre Lacazette,Centre-Forward,5,2019/2020,False,2019,28,0,0,0,0,0,12,16,10,0,0,1,0,0,0,13,0,0,0,0,1,0,193916,1,0,0,0,0,0,0,95,0
Everton FC,5/3/1996,8/10/2019 2:00:00 PM,Premier League,Nigeria,Alex Iwobi,Left Winger,4,2019/2020,False,2019,23,0,0,0,0,0,17,17,4,0,0,1,0,0,0,7,0,0,0,0,1,0,128875,0,0,0,0,0,0,0,60,0
Southampton FC,12/3/1989,8/10/2019 2:00:00 PM,Premier League,England,Alex McCarthy,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,318,18,3,0,0,1,0,0,0,5,0,0,0,0,1,0,45934,0,3,0,0,0,0,0,45,0
Liverpool FC,8/15/1993,8/9/2019 7:00:00 PM,Premier League,England,Alex Oxlade-Chamberlain,Central Midfield,3,2019/2020,True,2019,25,0,0,0,0,0,193,19,1,0,0,1,0,0,0,14,0,0,0,0,1,0,28598,1,4,0,0,0,0,0,65,0
Brighton & Hove Albion,8/11/1993,8/10/2019 2:00:00 PM,Premier League,Iran,Alireza Jahanbakhsh,Right Winger,4,2019/2020,False,2019,25,0,0,0,0,0,50,20,7,0,0,1,0,0,0,18,0,0,0,0,1,0,5564,3,0,0,0,0,0,0,60,0
Newcastle United,3/12/1997,8/11/2019 1:00:00 PM,Premier League,France,Allan Saint-Maximin,Left Winger,4,2019/2020,True,2019,22,0,0,2,0,0,500,21,10,0,0,1,0,0,23,1,0,0,0,0,1,0,34113,1,0,0,1,0,0,0,55,0
Chelsea FC,4/10/1996,8/11/2019 3:30:00 PM,Premier League,Denmark,Andreas Christensen,Centre-Back,2,2019/2020,False,2019,23,0,0,16,0,1.6,108,22,9,4,0,1,2.7,23.2,90,12,0,0,0,0,1,0,52353,0,4,2,0,0,0,0,50,0
Manchester United,1/1/1996,8/11/2019 3:30:00 PM,Premier League,Brazil,Andreas Pereira,Attacking Midfield,4,2019/2020,True,2019,23,1,0,22,1,20.1,246,23,9,0,0,1,4.6,22,73,6,0,0,0,0,1,0,9129,0,4,4,6,0,0,0,50,0
Liverpool FC,3/11/1994,8/9/2019 7:00:00 PM,Premier League,Scotland,Andrew Robertson,Left-Back,2,2019/2020,True,2019,25,0,0,15,0,24.7,181,24,1,1,0,1,4.4,12.4,90,14,0,0,0,0,1,0,1889240,1,4,7,2,0,0,0,70,0
AFC Bournemouth,8/20/1986,8/10/2019 2:00:00 PM,Premier League,England,Andrew Surman,Central Midfield,3,2019/2020,True,2019,32,0,0,0,0,0,80,25,2,0,0,1,0,0,0,15,0,0,0,0,1,0,3616,1,1,0,0,0,0,0,50,0
Watford FC,6/26/1991,8/10/2019 2:00:00 PM,Premier League,England,Andre Gray,Centre-Forward,5,2019/2020,True,2019,28,0,0,3,0,2.5,364,26,7,2,0,1,2.1,1.4,74,4,0,0,0,0,1,0,46334,3,0,17,2,0,0,0,60,0
Aston Villa,7/26/1998,8/10/2019 4:30:00 PM,Premier League,England,Andre Green,Left Winger,4,2019/2020,False,2019,20,0,0,0,0,0,32,27,6,0,0,1,0,0,0,17,0,0,0,0,1,0,1639,1,3,0,0,0,0,0,50,0
West Ham United,10/23/1989,8/10/2019 11:30:00 AM,Premier League,Ukraine,Andriy Yarmolenko,Right Winger,4,2019/2020,True,2019,29,0,0,0,0,0,392,28,8,0,0,1,0,0,0,11,0,0,0,0,1,0,11742,5,0,0,0,0,0,0,60,0
Crystal Palace,7/16/1991,8/10/2019 2:00:00 PM,Premier League,England,Andros Townsend,Right Winger,4,2019/2020,True,2019,27,0,0,14,1,11.7,135,29,4,0,0,1,2.2,10,90,8,0,0,0,0,1,0,212703,0,0,0,3,0,0,0,60,0
Newcastle United,1/6/1989,8/11/2019 1:00:00 PM,Premier League,England,Andy Carroll,Centre-Forward,5,2019/2020,True,2019,30,0,0,0,0,0,520,30,10,0,0,1,0,0,0,1,0,0,0,0,1,0,10294,1,0,0,0,0,0,0,55,0
West Ham United,5/23/1988,8/10/2019 11:30:00 AM,Premier League,Italy,Angelo Ogbonna,Centre-Back,2,2019/2020,True,2019,31,0,0,0,0,0,377,31,8,0,0,1,0,0,0,11,0,0,0,0,1,0,19136,5,0,0,0,0,0,0,45,0
Manchester United,8/31/2000,8/11/2019 3:30:00 PM,Premier League,England,Angel Gomes,Attacking Midfield,4,2019/2020,True,2019,18,0,0,0,0,0,245,32,9,0,0,1,0,0,0,6,0,0,0,0,1,0,7553,0,4,0,0,0,0,0,50,0
Southampton FC,1/22/1996,8/10/2019 2:00:00 PM,Premier League,England,Angus Gunn,Goalkeeper,1,2019/2020,False,2019,23,0,0,10,0,0,319,33,3,3,0,1,1,9.8,90,5,0,0,0,0,1,1,49447,0,3,0,1,0,0,0,45,0
Manchester United,12/5/1995,8/11/2019 3:30:00 PM,Premier League,France,Anthony Martial,Centre-Forward,5,2019/2020,True,2019,23,0,0,19,1,19.3,239,34,9,0,1,1,13,39.2,90,6,0,0,0,0,1,0,327361,0,4,71,7,0,0,0,75,1
Chelsea FC,3/3/1993,8/11/2019 3:30:00 PM,Premier League,Germany,Antonio Rüdiger,Centre-Back,2,2019/2020,False,2019,26,0,0,0,0,0,104,35,9,0,0,1,0,0,0,12,0,0,0,0,1,0,6039,0,4,0,0,0,0,0,60,0
Aston Villa,5/3/1995,8/10/2019 4:30:00 PM,Premier League,Netherlands,Anwar El Ghazi,Right Winger,4,2019/2020,False,2019,24,0,0,0,0,5.3,30,36,6,3,0,1,1.5,1.4,90,17,0,0,0,0,1,0,19086,1,3,8,2,0,0,0,55,0
West Ham United,11/7/1993,8/10/2019 11:30:00 AM,Premier League,DR Congo,Arthur Masuaku,Left-Back,2,2019/2020,True,2019,25,0,0,0,0,0,378,37,8,0,0,1,0,0,0,11,0,0,0,0,1,0,23599,5,0,0,0,0,0,0,45,0
AFC Bournemouth,2/20/1980,8/10/2019 2:00:00 PM,Premier League,Poland,Artur Boruc,Goalkeeper,1,2019/2020,True,2019,39,0,0,0,0,0,73,38,2,0,0,1,0,0,0,15,0,0,0,0,1,0,25338,1,1,0,0,0,0,0,45,0
Burnley FC,10/30/1989,8/10/2019 2:00:00 PM,Premier League,England,Ashley Barnes,Centre-Forward,5,2019/2020,True,2019,29,0,3,58,1,1.8,90,39,3,0,2,1,16.2,71.4,83,16,0,0,0,0,1,0,43298,0,3,89,13,0,0,0,65,0
Burnley FC,4/1/1990,8/10/2019 2:00:00 PM,Premier League,England,Ashley Westwood,Defensive Midfield,3,2019/2020,True,2019,29,0,0,7,1,11.5,101,40,3,0,0,1,1.8,6.4,90,16,0,0,0,0,1,0,51159,0,3,0,3,0,0,0,55,0
Manchester United,7/9/1985,8/11/2019 3:30:00 PM,Premier League,England,Ashley Young,Left Midfield,3,2019/2020,True,2019,33,0,0,0,0,0,224,41,9,0,0,1,0,0,0,6,0,0,0,0,1,0,24251,0,4,0,0,0,0,0,55,0
Manchester United,11/14/1997,8/11/2019 3:30:00 PM,Premier League,England,Axel Tuanzebe,Centre-Back,2,2019/2020,True,2019,21,0,0,0,0,0,481,42,9,0,0,1,0,0,0,6,0,0,0,0,1,0,7610,0,4,0,0,0,0,0,45,0
Manchester City,5/27/1994,8/10/2019 11:30:00 AM,Premier League,France,Aymeric Laporte,Centre-Back,2,2019/2020,False,2019,25,0,0,26,1,0.9,202,43,8,0,0,1,2,19.2,90,19,0,0,0,0,1,0,459735,5,0,0,6,0,0,0,65,0
Leicester City,7/29/1993,8/11/2019 1:00:00 PM,Premier League,Spain,Ayoze Pérez,Right Winger,4,2019/2020,True,2019,25,0,0,7,1,3.6,265,44,5,0,0,1,1.8,2,75,20,0,0,0,0,1,0,960786,0,0,12,3,0,0,0,65,0
Burnley FC,10/29/1996,8/10/2019 2:00:00 PM,Premier League,Northern Ireland,Bailey Peacock-Farrell,Goalkeeper,1,2019/2020,True,2019,22,0,0,0,0,0,495,45,3,0,0,1,0,0,0,16,0,0,0,0,1,0,3785,0,3,0,0,0,0,0,45,0
Manchester City,7/17/1994,8/10/2019 11:30:00 AM,Premier League,France,Benjamin Mendy,Left-Back,2,2019/2020,False,2019,24,0,0,0,0,0,204,46,8,0,0,1,0,0,0,19,0,0,0,0,1,0,22287,5,0,0,0,0,0,0,60,0
Tottenham Hotspur,4/24/1993,8/10/2019 4:30:00 PM,Premier League,Wales,Ben Davies,Left-Back,2,2019/2020,True,2019,26,0,0,0,0,0,329,47,6,0,0,1,0,0,0,2,0,0,0,0,1,0,9750,1,3,0,0,0,0,0,55,0
Watford FC,4/3/1983,8/10/2019 2:00:00 PM,Premier League,England,Ben Foster,Goalkeeper,1,2019/2020,True,2019,36,0,0,9,0,0,366,48,7,3,0,1,1,10,90,4,0,0,0,0,1,1,168877,3,0,0,1,0,0,0,50,0
Burnley FC,1/15/1993,8/10/2019 2:00:00 PM,Premier League,England,Ben Gibson,Centre-Back,2,2019/2020,True,2019,26,0,0,0,0,0,89,49,3,0,0,1,0,0,0,16,0,0,0,0,1,0,182745,0,3,0,0,0,0,0,40,0
Norwich City,1/15/1998,8/9/2019 7:00:00 PM,Premier League,England,Ben Godfrey,Centre-Back,2,2019/2020,False,2019,21,0,0,18,0,0.1,273,50,1,4,0,1,3.1,23.8,90,10,0,0,0,0,1,0,13966,1,4,7,0,0,0,0,45,0
West Ham United,1/24/2000,8/10/2019 11:30:00 AM,Premier League,England,Ben Johnson,Right-Back,2,2019/2020,True,2019,19,0,0,0,0,0,384,51,8,0,0,1,0,0,0,11,0,0,0,0,1,0,67721,5,0,0,0,0,0,0,40,0
Burnley FC,9/21/1989,8/10/2019 2:00:00 PM,Premier League,England,Ben Mee,Centre-Back,2,2019/2020,True,2019,29,0,0,27,1,0.1,83,52,3,0,0,1,2.3,21.2,90,16,0,0,0,0,1,0,47250,0,3,2,6,0,0,0,50,0
Sheffield United,8/5/1994,8/10/2019 2:00:00 PM,Premier League,England,Ben Osborn,Left Midfield,3,2019/2020,False,2019,24,0,0,0,0,0,472,53,2,0,0,1,0,0,0,3,0,0,0,0,1,0,2668,1,1,0,0,0,0,0,50,0
Brighton & Hove Albion,5/2/1988,8/10/2019 2:00:00 PM,Premier League,Israel,Beram Kayal,Central Midfield,3,2019/2020,False,2019,31,0,0,0,0,0,56,54,7,0,0,1,0,0,0,18,0,0,0,0,1,0,6689,3,0,0,0,0,0,0,45,0
Arsenal FC,3/4/1992,8/11/2019 1:00:00 PM,Premier League,Germany,Bernd Leno,Goalkeeper,1,2019/2020,False,2019,27,0,1,27,1,0,14,55,10,0,0,1,1.8,18,90,13,0,0,0,0,1,2,276322,1,0,0,7,0,0,0,50,0
Sheffield United,2/5/1986,8/10/2019 2:00:00 PM,Premier League,England,Billy Sharp,Centre-Forward,5,2019/2020,False,2019,33,0,3,26,0,0.5,298,56,2,0,1,1,6.8,32.4,8,3,0,0,0,0,1,0,46529,1,1,35,8,0,0,0,60,0
Chelsea FC,11/7/2000,8/11/2019 3:30:00 PM,Premier League,England,Callum Hudson-Odoi,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0,116,57,9,0,0,1,0,0,0,12,0,0,0,0,1,0,10428,0,4,0,0,0,0,0,60,0
Sheffield United,2/2/1995,8/10/2019 2:00:00 PM,Premier League,Ireland,Callum Robinson,Left Winger,4,2019/2020,False,2019,24,0,0,2,0,0.9,453,58,2,1,0,1,3.5,4.6,90,3,0,0,0,0,1,0,55367,1,1,29,2,0,0,0,55,0
Southampton FC,2/8/1999,8/10/2019 2:00:00 PM,Premier League,England,Callum Slattery,Central Midfield,3,2019/2020,False,2019,20,0,0,0,0,0,327,59,3,0,0,1,0,0,0,5,0,0,0,0,1,0,10048,0,3,0,0,0,0,0,45,0
AFC Bournemouth,2/27/1992,8/10/2019 2:00:00 PM,Premier League,England,Callum Wilson,Centre-Forward,5,2019/2020,True,2019,27,1,0,10,0,2.3,67,60,2,1,0,1,4,2.4,89,15,0,0,0,0,1,0,1093028,1,1,35,5,0,0,0,80,0
Arsenal FC,1/20/1995,8/11/2019 1:00:00 PM,Premier League,England,Calum Chambers,Centre-Back,2,2019/2020,False,2019,24,0,0,26,1,0.2,467,61,10,0,0,1,1.3,13,90,13,0,0,0,0,1,0,39038,1,0,0,6,0,0,0,45,0
West Ham United,2/6/1986,8/10/2019 11:30:00 AM,Premier League,Colombia,Carlos Sánchez,Defensive Midfield,3,2019/2020,True,2019,33,0,0,0,0,0,397,62,8,0,0,1,0,0,0,11,0,0,0,0,1,0,20626,5,0,0,0,0,0,0,45,0
Everton FC,6/7/1991,8/10/2019 2:00:00 PM,Premier League,Turkey,Cenk Tosun,Centre-Forward,5,2019/2020,False,2019,28,0,0,0,0,0,146,63,4,0,0,1,0,0,0,7,0,0,0,0,1,0,11663,0,0,0,0,0,0,0,60,0
Crystal Palace,6/7/1991,8/10/2019 2:00:00 PM,Premier League,Turkey,Cenk Tosun,Centre-Forward,5,2019/2020,False,2019,28,0,0,0,0,0,146,64,4,0,0,1,0,0,0,7,0,0,0,0,1,0,11663,0,0,0,0,0,0,0,60,0
AFC Bournemouth,9/7/1986,8/10/2019 2:00:00 PM,Premier League,England,Charlie Daniels,Left-Back,2,2019/2020,True,2019,32,0,0,0,0,0,60,65,2,0,0,1,0,0,0,15,0,0,0,0,1,0,14037,1,1,0,0,0,0,0,45,0
Burnley FC,9/18/1993,8/10/2019 2:00:00 PM,Premier League,England,Charlie Taylor,Left-Back,2,2019/2020,True,2019,25,0,0,0,0,0,87,66,3,0,0,1,0,0,0,16,0,0,0,0,1,0,91379,0,3,0,0,0,0,0,45,0
Crystal Palace,12/21/1989,8/10/2019 2:00:00 PM,Premier League,Senegal,Cheikhou Kouyaté,Defensive Midfield,3,2019/2020,True,2019,29,0,0,0,0,0,139,67,4,0,0,1,0,0,0,8,0,0,0,0,1,0,10397,0,0,0,0,0,0,0,50,0
Southampton FC,7/13/1996,8/10/2019 2:00:00 PM,Premier League,England,Che Adams,Centre-Forward,5,2019/2020,False,2019,22,0,0,-5,0,1.8,437,68,3,2,0,1,1.6,0,72,5,0,0,0,0,1,0,75736,0,3,21,2,0,0,0,60,0
Newcastle United,1/10/1992,8/11/2019 1:00:00 PM,Premier League,Ghana,Christian Atsu,Left Winger,4,2019/2020,True,2019,27,0,0,0,0,0,267,69,10,0,0,1,0,0,0,1,0,0,0,0,1,0,7932,1,0,0,0,0,0,0,55,0
Crystal Palace,12/3/1990,8/10/2019 2:00:00 PM,Premier League,Belgium,Christian Benteke,Centre-Forward,5,2019/2020,True,2019,28,0,0,9,1,15,129,70,4,0,0,1,2.7,9.6,82,8,0,0,0,0,1,0,56054,0,0,2,2,0,0,0,60,0
Tottenham Hotspur,2/14/1992,8/10/2019 4:30:00 PM,Premier League,Denmark,Christian Eriksen,Attacking Midfield,4,2019/2020,True,2019,27,0,0,10,0,40.8,343,71,6,0,0,1,7.1,12.6,26,2,0,0,0,0,1,0,370921,1,3,18,1,0,0,0,90,0
Leicester City,4/7/1986,8/11/2019 1:00:00 PM,Premier League,Austria,Christian Fuchs,Left-Back,2,2019/2020,True,2019,33,0,0,0,0,0,163,72,5,0,0,1,0,0,0,20,0,0,0,0,1,0,22675,0,0,0,0,0,0,0,45,0
Watford FC,2/24/1991,8/10/2019 2:00:00 PM,Premier League,Belgium,Christian Kabasele,Centre-Back,2,2019/2020,True,2019,28,0,0,0,0,0,354,73,7,0,0,1,0,0,0,4,0,0,0,0,1,0,13634,3,0,0,0,0,0,0,45,0
Chelsea FC,9/18/1998,8/11/2019 3:30:00 PM,Premier League,United States,Christian Pulisic,Left Winger,4,2019/2020,False,2019,20,0,0,4,0,11.8,431,74,9,3,0,1,2.6,6,32,12,0,0,0,0,1,0,498277,0,4,8,1,0,0,0,75,0
Norwich City,1/12/1993,8/9/2019 7:00:00 PM,Premier League,Germany,Christoph Zimmermann,Centre-Back,2,2019/2020,False,2019,26,0,0,0,0,0,275,75,1,0,0,1,0,0,0,10,0,0,0,0,1,0,1528,1,4,0,0,0,0,0,45,0
Sheffield United,7/20/1988,8/10/2019 2:00:00 PM,Premier League,England,Chris Basham,Centre-Back,2,2019/2020,False,2019,30,0,0,9,0,1.5,423,76,2,1,0,1,1.3,9.6,81,3,0,0,0,0,1,0,8809,1,1,2,2,0,0,0,45,0
AFC Bournemouth,11/5/1997,8/10/2019 2:00:00 PM,Premier League,Wales,Chris Mepham,Centre-Back,2,2019/2020,True,2019,21,0,2,24,0,1.2,61,77,2,1,1,1,11.7,47.4,90,15,0,0,0,0,1,0,8741,1,1,68,10,0,0,0,45,0
Burnley FC,12/7/1991,8/10/2019 2:00:00 PM,Premier League,New Zealand,Chris Wood,Centre-Forward,5,2019/2020,True,2019,27,0,0,-1,1,0.7,91,78,3,0,0,1,0.8,0,90,16,0,0,0,0,1,0,99872,0,3,8,2,0,0,0,65,0
Newcastle United,9/26/1989,8/11/2019 1:00:00 PM,Premier League,Ireland,Ciaran Clark,Centre-Back,2,2019/2020,True,2019,29,0,0,0,0,0,259,79,10,0,0,1,0,0,0,1,0,0,0,0,1,0,11409,1,0,0,0,0,0,0,45,0
Manchester City,4/13/1983,8/10/2019 11:30:00 AM,Premier League,Chile,Claudio Bravo,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,213,80,8,0,0,1,0,0,0,19,0,0,0,0,1,0,18987,5,0,0,0,0,0,0,50,0
Crystal Palace,3/31/1993,8/10/2019 2:00:00 PM,Premier League,England,Connor Wickham,Centre-Forward,5,2019/2020,True,2019,26,0,0,1,0,0.5,130,81,4,0,0,1,0.2,0,7,8,0,0,0,0,1,0,280588,0,0,2,1,0,0,0,45,0
Wolverhampton Wanderers,2/25/1993,8/11/2019 1:00:00 PM,Premier League,England,Conor Coady,Centre-Back,2,2019/2020,False,2019,26,0,0,20,1,0,403,82,5,0,0,1,1,10,90,9,0,0,0,0,1,0,91016,0,0,0,6,0,0,0,50,0
Aston Villa,2/2/1991,8/10/2019 4:30:00 PM,Premier League,Ireland,Conor Hourihane,Central Midfield,3,2019/2020,False,2019,28,0,0,12,0,10.8,28,83,6,1,0,1,2.7,16.4,81,17,0,0,0,0,1,0,15856,1,3,0,2,0,0,0,60,0
Watford FC,2/6/1989,8/10/2019 2:00:00 PM,Premier League,Northern Ireland,Craig Cathcart,Centre-Back,2,2019/2020,True,2019,30,0,0,10,0,0.3,358,84,7,3,0,1,1.1,10.4,90,4,0,0,0,0,1,0,261010,3,0,0,1,0,0,0,45,0
Watford FC,5/6/1990,8/10/2019 2:00:00 PM,Premier League,England,Craig Dawson,Centre-Back,2,2019/2020,True,2019,29,0,0,13,0,0.4,439,85,7,3,0,1,5.9,21.2,90,4,0,0,0,0,1,0,16860,3,0,37,1,0,0,0,50,0
Arsenal FC,8/31/1991,8/10/2019 2:00:00 PM,Premier League,Portugal,Cédric Soares,Right-Back,2,2019/2020,False,2019,27,0,0,0,0,0,486,86,3,0,0,1,0,0,0,5,0,0,0,0,1,0,18025,0,3,0,0,0,0,0,50,0
Southampton FC,8/31/1991,8/10/2019 2:00:00 PM,Premier League,Portugal,Cédric Soares,Right-Back,2,2019/2020,False,2019,27,0,0,0,0,0,486,87,3,0,0,1,0,0,0,5,0,0,0,0,1,0,18025,0,3,0,0,0,0,0,50,0
Chelsea FC,8/28/1989,8/11/2019 3:30:00 PM,Premier League,Spain,César Azpilicueta,Right-Back,2,2019/2020,False,2019,29,0,0,9,0,16.7,105,88,9,4,0,1,4.3,24.2,90,12,0,0,0,0,1,0,471790,0,4,2,0,0,0,0,60,0
Brighton & Hove Albion,6/12/1989,8/10/2019 2:00:00 PM,Premier League,England,Dale Stephens,Central Midfield,3,2019/2020,False,2019,30,0,0,11,1,11.3,57,89,7,0,0,1,2.6,15,90,18,0,0,0,0,1,0,170109,3,0,0,3,0,0,0,45,0
Leicester City,12/21/1994,8/11/2019 1:00:00 PM,Premier League,Ghana,Daniel Amartey,Defensive Midfield,3,2019/2020,True,2019,24,0,0,0,0,0,178,90,5,0,0,1,0,0,0,20,0,0,0,0,1,0,18668,0,0,0,0,0,0,0,45,0
Manchester United,11/10/1997,8/11/2019 3:30:00 PM,Premier League,Wales,Daniel James,Left Winger,4,2019/2020,True,2019,21,0,0,21,0,0.5,243,91,9,0,1,1,5.1,33,16,6,0,0,0,0,1,0,128489,0,4,17,6,0,0,0,60,0
Southampton FC,7/23/1992,8/10/2019 2:00:00 PM,Premier League,England,Danny Ings,Centre-Forward,5,2019/2020,False,2019,26,0,0,8,0,11,313,92,3,1,0,1,1.6,4.8,65,5,0,0,0,0,1,0,130990,0,3,0,2,0,0,0,60,0
Tottenham Hotspur,7/2/1990,8/10/2019 4:30:00 PM,Premier League,England,Danny Rose,Left-Back,2,2019/2020,True,2019,28,0,0,13,0,53,332,93,6,1,0,1,7,15.2,90,2,0,0,0,0,1,0,135628,1,3,2,2,0,0,0,55,0
Newcastle United,7/2/1990,8/10/2019 4:30:00 PM,Premier League,England,Danny Rose,Left-Back,2,2019/2020,True,2019,28,0,0,13,0,53,332,94,6,1,0,1,7,15.2,90,2,0,0,0,0,1,0,135628,1,3,2,2,0,0,0,55,0
Leicester City,6/22/1993,8/11/2019 1:00:00 PM,Premier League,Wales,Danny Ward,Goalkeeper,1,2019/2020,True,2019,26,0,0,0,0,0,170,95,5,0,0,1,0,0,0,20,0,0,0,0,1,0,12460,0,0,0,0,0,0,0,45,0
Watford FC,11/26/1990,8/10/2019 2:00:00 PM,Premier League,England,Danny Welbeck,Centre-Forward,5,2019/2020,True,2019,28,0,0,0,0,0,512,96,7,0,0,1,0,0,0,4,0,0,0,0,1,0,8949,3,0,0,0,0,0,0,60,0
Brighton & Hove Albion,5/9/1992,8/10/2019 2:00:00 PM,Premier League,England,Dan Burn,Centre-Back,2,2019/2020,False,2019,27,0,0,23,1,1.3,475,97,7,0,0,1,1.5,12.8,90,18,0,0,0,0,1,0,3535,3,0,1,6,0,0,0,45,0
AFC Bournemouth,2/1/1990,8/10/2019 2:00:00 PM,Premier League,England,Dan Gosling,Central Midfield,3,2019/2020,True,2019,29,0,0,0,0,0,81,98,2,0,0,1,0,0,0,15,0,0,0,0,1,0,1322,1,1,0,0,0,0,0,50,0
Watford FC,7/22/1989,8/10/2019 2:00:00 PM,Premier League,Netherlands,Daryl Janmaat,Right-Back,2,2019/2020,True,2019,29,0,0,0,0,0,359,99,7,0,0,1,0,0,0,4,0,0,0,0,1,0,35136,3,0,0,0,0,0,0,45,0
Chelsea FC,6/11/1992,8/11/2019 3:30:00 PM,Premier League,Italy,Davide Zappacosta,Right Midfield,3,2019/2020,False,2019,27,0,0,0,0,0,109,100,9,0,0,1,0,0,0,12,0,0,0,0,1,0,27445,0,4,0,0,0,0,0,45,0
